date,Argentina,Bangladesh,Brazil,Canada,Chile,Colombia,Ecuador,Egypt,France,Germany,India,Indonesia,Iran,Italy,Mexico,Pakistan,Peru,Qatar,Russia,Saudi Arabia,South Africa,Spain,Turkey,United Kingdom,US
2020/1/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020/1/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020/1/24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020/1/25,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020/1/26,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020/1/27,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020/1/28,0,0,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020/1/29,0,0,0,2,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020/1/30,0,0,0,2,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020/1/31,0,0,0,4,0,0,0,0,5,5,1,0,0,2,0,0,0,0,2,0,0,0,0,2,7
2020/2/1,0,0,0,4,0,0,0,0,6,8,1,0,0,2,0,0,0,0,2,0,0,1,0,2,8
2020/2/2,0,0,0,4,0,0,0,0,6,10,2,0,0,2,0,0,0,0,2,0,0,1,0,2,8
2020/2/3,0,0,0,4,0,0,0,0,6,12,3,0,0,2,0,0,0,0,2,0,0,1,0,2,11
2020/2/4,0,0,0,4,0,0,0,0,6,12,3,0,0,2,0,0,0,0,2,0,0,1,0,2,11
2020/2/5,0,0,0,5,0,0,0,0,6,12,3,0,0,2,0,0,0,0,2,0,0,1,0,2,11
2020/2/6,0,0,0,5,0,0,0,0,6,12,3,0,0,2,0,0,0,0,2,0,0,1,0,2,11
2020/2/7,0,0,0,7,0,0,0,0,6,13,3,0,0,3,0,0,0,0,2,0,0,1,0,3,11
2020/2/8,0,0,0,7,0,0,0,0,11,13,3,0,0,3,0,0,0,0,2,0,0,1,0,3,11
2020/2/9,0,0,0,7,0,0,0,0,11,14,3,0,0,3,0,0,0,0,2,0,0,2,0,3,11
2020/2/10,0,0,0,7,0,0,0,0,11,14,3,0,0,3,0,0,0,0,2,0,0,2,0,8,11
2020/2/11,0,0,0,7,0,0,0,0,11,16,3,0,0,3,0,0,0,0,2,0,0,2,0,8,12
2020/2/12,0,0,0,7,0,0,0,0,11,16,3,0,0,3,0,0,0,0,2,0,0,2,0,9,12
2020/2/13,0,0,0,7,0,0,0,0,11,16,3,0,0,3,0,0,0,0,2,0,0,2,0,9,13
2020/2/14,0,0,0,7,0,0,0,1,11,16,3,0,0,3,0,0,0,0,2,0,0,2,0,9,13
2020/2/15,0,0,0,7,0,0,0,1,12,16,3,0,0,3,0,0,0,0,2,0,0,2,0,9,13
2020/2/16,0,0,0,7,0,0,0,1,12,16,3,0,0,3,0,0,0,0,2,0,0,2,0,9,13
2020/2/17,0,0,0,8,0,0,0,1,12,16,3,0,0,3,0,0,0,0,2,0,0,2,0,9,13
2020/2/18,0,0,0,8,0,0,0,1,12,16,3,0,0,3,0,0,0,0,2,0,0,2,0,9,13
2020/2/19,0,0,0,8,0,0,0,1,12,16,3,0,2,3,0,0,0,0,2,0,0,2,0,9,13
2020/2/20,0,0,0,8,0,0,0,1,12,16,3,0,5,3,0,0,0,0,2,0,0,2,0,9,13
2020/2/21,0,0,0,9,0,0,0,1,12,16,3,0,18,20,0,0,0,0,2,0,0,2,0,9,15
2020/2/22,0,0,0,9,0,0,0,1,12,16,3,0,28,62,0,0,0,0,2,0,0,2,0,9,15
2020/2/23,0,0,0,9,0,0,0,1,12,16,3,0,43,155,0,0,0,0,2,0,0,2,0,9,15
2020/2/24,0,0,0,10,0,0,0,1,12,16,3,0,61,229,0,0,0,0,2,0,0,2,0,13,15
2020/2/25,0,0,0,11,0,0,0,1,14,17,3,0,95,322,0,2,0,0,2,0,0,6,0,13,15
2020/2/26,0,0,1,11,0,0,0,1,18,27,3,0,139,453,0,2,0,0,2,0,0,13,0,13,15
2020/2/27,0,0,1,13,0,0,0,1,38,46,3,0,245,655,0,2,0,0,2,0,0,15,0,15,16
2020/2/28,0,0,1,14,0,0,0,1,57,48,3,0,388,888,1,4,0,0,2,0,0,32,0,20,16
2020/2/29,0,0,2,20,0,0,0,1,100,79,3,0,593,1128,4,4,0,1,2,0,0,45,0,23,24
2020/3/1,0,0,2,24,0,0,6,2,130,130,3,0,978,1694,5,4,0,3,2,0,0,84,0,36,30
2020/3/2,0,0,2,27,0,0,6,2,191,159,5,2,1501,2036,5,5,0,3,3,1,0,120,0,40,53
2020/3/3,1,0,2,30,1,0,7,2,204,196,5,2,2336,2502,5,5,0,7,3,1,0,165,0,51,73
2020/3/4,1,0,4,33,1,0,10,2,285,262,28,2,2922,3089,5,5,0,8,3,1,0,222,0,85,104
2020/3/5,1,0,4,37,4,0,13,3,377,482,30,2,3513,3858,5,6,0,8,4,5,1,259,0,115,174
2020/3/6,2,0,13,49,4,1,13,15,653,670,31,4,4747,4636,6,6,1,8,13,5,1,400,0,163,222
2020/3/7,8,0,13,54,4,1,13,15,949,799,34,4,5823,5883,6,6,1,8,13,5,1,500,0,206,337
2020/3/8,12,3,20,64,8,1,14,49,1126,1040,39,6,6566,7375,7,6,6,15,17,11,3,673,0,273,451
2020/3/9,12,3,25,77,8,1,15,55,1209,1176,43,19,7161,9172,7,16,7,18,17,15,3,1073,0,321,519
2020/3/10,17,3,31,79,13,3,15,59,1784,1457,56,27,8042,10149,7,19,11,24,20,20,7,1695,0,382,711
2020/3/11,19,3,38,108,23,9,17,60,2281,1908,62,34,9000,12462,8,20,11,262,20,21,13,2277,1,456,1109
2020/3/12,19,3,52,117,23,9,17,67,2281,2078,73,34,10075,15113,12,28,15,262,28,45,17,2277,1,456,1561
2020/3/13,31,3,151,193,43,13,17,80,3661,3675,82,69,11364,17660,26,31,28,320,45,86,24,5232,5,798,2157
2020/3/14,34,3,151,198,61,22,28,109,4469,4585,102,96,12729,21157,41,53,38,337,59,103,38,6391,5,1140,2870
2020/3/15,45,5,162,252,74,34,28,110,4499,5795,113,117,13938,24747,53,136,43,401,63,103,51,7798,6,1140,2968
2020/3/16,56,8,200,415,155,54,37,150,6633,7272,119,134,14991,27980,82,236,86,439,90,118,62,9942,18,1543,4360
2020/3/17,68,10,321,478,201,65,58,196,7652,9257,142,172,16169,31506,93,299,117,439,114,171,62,11748,47,1950,6141
