date,阿根廷,孟加拉国,白俄罗斯,比利时,巴西,加拿大,智利,中国,哥伦比亚,厄瓜多尔,埃及,法国,德国,印度,印度尼西亚,伊朗,意大利,科威特,墨西哥,荷兰,巴基斯坦,秘鲁,菲律宾,波兰,葡萄牙,卡塔尔,俄罗斯,沙特阿拉伯,新加坡,南非,西班牙,瑞典,土耳其,乌克兰,阿联酋,英国,美国
2020/1/22,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020/1/23,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2020/1/24,0,0,0,0,0,0,0,920,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
2020/1/25,0,0,0,0,0,0,0,1406,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
2020/1/26,0,0,0,0,0,1,0,2075,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5
2020/1/27,0,0,0,0,0,1,0,2877,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
2020/1/28,0,0,0,0,0,2,0,5509,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5
2020/1/29,0,0,0,0,0,2,0,6087,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,5
2020/1/30,0,0,0,0,0,2,0,8141,0,0,0,5,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,4,0,5
2020/1/31,0,0,0,0,0,4,0,9802,0,0,0,5,5,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,13,0,0,1,0,0,4,2,7
2020/2/1,0,0,0,0,0,4,0,11891,0,0,0,6,8,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,16,0,1,1,0,0,4,2,8
2020/2/2,0,0,0,0,0,4,0,16630,0,0,0,6,10,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,18,0,1,1,0,0,5,2,8
2020/2/3,0,0,0,0,0,4,0,19716,0,0,0,6,12,3,0,0,2,0,0,0,0,0,2,0,0,0,2,0,18,0,1,1,0,0,5,2,11
2020/2/4,0,0,0,1,0,4,0,23707,0,0,0,6,12,3,0,0,2,0,0,0,0,0,2,0,0,0,2,0,24,0,1,1,0,0,5,2,11
2020/2/5,0,0,0,1,0,5,0,27440,0,0,0,6,12,3,0,0,2,0,0,0,0,0,2,0,0,0,2,0,28,0,1,1,0,0,5,2,11
2020/2/6,0,0,0,1,0,5,0,30587,0,0,0,6,12,3,0,0,2,0,0,0,0,0,2,0,0,0,2,0,28,0,1,1,0,0,5,2,11
2020/2/7,0,0,0,1,0,7,0,34110,0,0,0,6,13,3,0,0,3,0,0,0,0,0,3,0,0,0,2,0,30,0,1,1,0,0,5,3,11
2020/2/8,0,0,0,1,0,7,0,36814,0,0,0,11,13,3,0,0,3,0,0,0,0,0,3,0,0,0,2,0,33,0,1,1,0,0,7,3,11
2020/2/9,0,0,0,1,0,7,0,39829,0,0,0,11,14,3,0,0,3,0,0,0,0,0,3,0,0,0,2,0,40,0,2,1,0,0,7,3,11
2020/2/10,0,0,0,1,0,7,0,42354,0,0,0,11,14,3,0,0,3,0,0,0,0,0,3,0,0,0,2,0,45,0,2,1,0,0,8,8,11
2020/2/11,0,0,0,1,0,7,0,44386,0,0,0,11,16,3,0,0,3,0,0,0,0,0,3,0,0,0,2,0,47,0,2,1,0,0,8,8,12
2020/2/12,0,0,0,1,0,7,0,44759,0,0,0,11,16,3,0,0,3,0,0,0,0,0,3,0,0,0,2,0,50,0,2,1,0,0,8,9,12
2020/2/13,0,0,0,1,0,7,0,59895,0,0,0,11,16,3,0,0,3,0,0,0,0,0,3,0,0,0,2,0,58,0,2,1,0,0,8,9,13
2020/2/14,0,0,0,1,0,7,0,66358,0,0,1,11,16,3,0,0,3,0,0,0,0,0,3,0,0,0,2,0,67,0,2,1,0,0,8,9,13
2020/2/15,0,0,0,1,0,7,0,68413,0,0,1,12,16,3,0,0,3,0,0,0,0,0,3,0,0,0,2,0,72,0,2,1,0,0,8,9,13
2020/2/16,0,0,0,1,0,7,0,70513,0,0,1,12,16,3,0,0,3,0,0,0,0,0,3,0,0,0,2,0,75,0,2,1,0,0,9,9,13
2020/2/17,0,0,0,1,0,8,0,72434,0,0,1,12,16,3,0,0,3,0,0,0,0,0,3,0,0,0,2,0,77,0,2,1,0,0,9,9,13
2020/2/18,0,0,0,1,0,8,0,74211,0,0,1,12,16,3,0,0,3,0,0,0,0,0,3,0,0,0,2,0,81,0,2,1,0,0,9,9,13
2020/2/19,0,0,0,1,0,8,0,74619,0,0,1,12,16,3,0,2,3,0,0,0,0,0,3,0,0,0,2,0,84,0,2,1,0,0,9,9,13
2020/2/20,0,0,0,1,0,8,0,75077,0,0,1,12,16,3,0,5,3,0,0,0,0,0,3,0,0,0,2,0,84,0,2,1,0,0,9,9,13
2020/2/21,0,0,0,1,0,9,0,75550,0,0,1,12,16,3,0,18,20,0,0,0,0,0,3,0,0,0,2,0,85,0,2,1,0,0,9,9,15
2020/2/22,0,0,0,1,0,9,0,77001,0,0,1,12,16,3,0,28,62,0,0,0,0,0,3,0,0,0,2,0,85,0,2,1,0,0,13,9,15
2020/2/23,0,0,0,1,0,9,0,77022,0,0,1,12,16,3,0,43,155,0,0,0,0,0,3,0,0,0,2,0,89,0,2,1,0,0,13,9,15
2020/2/24,0,0,0,1,0,10,0,77241,0,0,1,12,16,3,0,61,229,1,0,0,0,0,3,0,0,0,2,0,89,0,2,1,0,0,13,13,15
2020/2/25,0,0,0,1,0,11,0,77754,0,0,1,14,17,3,0,95,322,11,0,0,2,0,3,0,0,0,2,0,91,0,6,1,0,0,13,13,15
2020/2/26,0,0,0,1,1,11,0,78166,0,0,1,18,27,3,0,139,453,26,0,0,2,0,3,0,0,0,2,0,93,0,13,2,0,0,13,13,15
2020/2/27,0,0,0,1,1,13,0,78600,0,0,1,38,46,3,0,245,655,43,0,1,2,0,3,0,0,0,2,0,93,0,15,7,0,0,13,15,16
2020/2/28,0,0,1,1,1,14,0,78928,0,0,1,57,48,3,0,388,888,45,1,1,4,0,3,0,0,0,2,0,93,0,32,7,0,0,19,20,16
2020/2/29,0,0,1,1,2,20,0,79356,0,0,1,100,79,3,0,593,1128,45,4,6,4,0,3,0,0,1,2,0,102,0,45,12,0,0,21,23,24
2020/3/1,0,0,1,2,2,24,0,79932,0,6,2,130,130,3,0,978,1694,45,5,10,4,0,3,0,0,3,2,0,106,0,84,14,0,0,21,36,30
2020/3/2,0,0,1,8,2,27,0,80136,0,6,2,191,159,5,2,1501,2036,56,5,18,5,0,3,0,2,3,3,1,108,0,120,15,0,0,21,40,53
2020/3/3,1,0,1,13,2,30,1,80261,0,7,2,204,196,5,2,2336,2502,56,5,24,5,0,3,0,2,7,3,1,110,0,165,21,0,1,27,51,73
2020/3/4,1,0,6,23,4,33,1,80386,0,10,2,285,262,28,2,2922,3089,56,5,38,5,0,3,1,5,8,3,1,110,0,222,35,0,1,27,85,104
2020/3/5,1,0,6,50,4,37,4,80537,0,13,3,377,482,30,2,3513,3858,58,5,82,6,0,3,1,8,8,4,5,117,1,259,94,0,1,29,115,174
2020/3/6,2,0,6,109,13,49,4,80690,1,13,15,653,670,31,4,4747,4636,58,6,128,6,1,5,5,13,8,13,5,130,1,400,101,0,1,29,163,222
